,Cities,Max Temperature,Humidity,Cloudiness,Windspeed,Lat,Lon,Country,Date
394,el alto,35.6,86.0,75.0,3.36,-16.5,-68.19,BO,1532502000
395,kathmandu,80.6,74.0,75.0,8.05,27.71,85.32,NP,1532503200
396,kautokeino,69.8,72.0,32.0,3.74,69.01,23.04,NO,1532505836
397,naze,77.0,94.0,75.0,0.49,5.43,7.07,NG,1532502000
398,fairbanks,71.6,53.0,1.0,2.51,64.84,-147.72,US,1532501880
399,akdagmadeni,81.86,28.0,0.0,4.97,39.66,35.88,TR,1532505837
400,kudahuvadhoo,80.15,100.0,32.0,17.83,2.67,72.89,MV,1532505837
401,gari,85.73,42.0,0.0,4.18,59.43,62.35,RU,1532505838
402,ostrovnoy,82.67,57.0,0.0,12.57,68.05,39.51,RU,1532505838
403,nantucket,73.4,100.0,90.0,11.41,41.28,-70.1,US,1532504100
404,mkushi,62.24,64.0,32.0,13.02,-13.61,29.4,ZM,1532505838
405,namtsy,60.26,79.0,44.0,2.95,62.72,129.66,RU,1532505839
407,fare,79.61,98.0,48.0,11.56,-16.7,-151.02,PF,1532505839
409,kurayoshi,86.0,66.0,75.0,8.05,35.43,133.83,JP,1532502000
411,onda,82.4,65.0,40.0,2.24,39.96,-0.26,ES,1532503800
412,socorro,71.51,100.0,92.0,3.18,13.06,121.41,PH,1532505840
413,capitao poco,71.78,93.0,12.0,5.41,-1.75,-47.06,BR,1532505841
414,lokoja,72.86,100.0,76.0,4.07,7.8,6.74,NG,1532505841
415,saint-louis,77.0,53.0,0.0,3.36,47.59,7.56,CH,1532503800
416,victor harbor,59.0,77.0,20.0,10.29,-35.55,138.62,AU,1532502000
417,oistins,80.6,74.0,20.0,16.11,13.07,-59.53,BB,1532502000
418,evensk,56.48,95.0,80.0,1.39,61.92,159.24,RU,1532505842
419,wageningen,78.8,53.0,75.0,5.82,51.98,5.66,NL,1532505300
420,mareeba,77.0,53.0,20.0,6.93,-16.99,145.42,AU,1532502000
421,southbridge,75.2,94.0,90.0,4.7,42.08,-72.03,US,1532505360
422,nome,75.2,83.0,1.0,5.53,30.04,-94.42,US,1532505300
423,shubarshi,88.7,28.0,88.0,10.22,48.59,57.19,KZ,1532505844
425,san isidro,79.61,92.0,56.0,4.07,16.74,121.63,PH,1532505846
426,taft,81.77,99.0,56.0,11.79,11.9,125.42,PH,1532505846
427,grinnell,64.4,88.0,1.0,2.62,41.74,-92.72,US,1532504100
428,san ramon,69.98,94.0,92.0,2.51,12.92,-85.84,NI,1532505847
430,touros,75.47,85.0,68.0,14.14,-5.2,-35.46,BR,1532505848
431,san jose,74.84,100.0,88.0,3.06,15.79,120.99,PH,1532505741
432,gazli,95.18,19.0,0.0,19.17,40.13,63.45,UZ,1532505850
433,taltal,43.07,87.0,0.0,2.17,-25.41,-70.49,CL,1532505850
434,la romana,77.0,88.0,75.0,3.06,18.43,-68.97,DO,1532502000
435,fortuna,78.8,83.0,75.0,5.82,38.18,-1.13,ES,1532503800
436,lata,64.67,100.0,92.0,1.72,30.78,78.62,IN,1532505851
437,festus,73.4,78.0,20.0,6.93,38.22,-90.4,US,1532505060
438,dudinka,63.41,100.0,80.0,6.64,69.41,86.18,RU,1532505851
439,san patricio,51.89,95.0,64.0,2.73,-26.98,-56.83,PY,1532505852
440,kavaratti,82.85,95.0,88.0,21.74,10.57,72.64,IN,1532505852
441,guerrero negro,68.27,100.0,76.0,5.19,27.97,-114.04,MX,1532505852
442,sosnovka,67.01,96.0,92.0,13.69,53.23,41.37,RU,1532505853
443,tessalit,97.61,21.0,0.0,14.47,20.2,1.01,ML,1532505853
444,tual,81.14,94.0,0.0,11.45,-5.67,132.75,ID,1532505853
445,salinas,62.6,100.0,90.0,8.05,36.67,-121.66,US,1532504280
446,lehi,82.4,39.0,1.0,10.29,40.39,-111.85,US,1532502900
447,zaraza,71.51,95.0,36.0,2.95,9.35,-65.33,VE,1532505854
448,salmas,86.0,37.0,0.0,6.93,38.2,44.77,IR,1532502000
449,oranjemund,58.73,100.0,56.0,19.62,-28.55,16.43,ZA,1532505855
450,marzuq,95.36,18.0,20.0,3.4,14.4,46.47,YE,1532505855
451,poum,69.8,73.0,75.0,3.36,41.28,20.71,MK,1532503800
452,neryungri,69.44,67.0,0.0,8.1,56.66,124.71,RU,1532505856
453,rawson,28.22,72.0,0.0,8.66,-43.3,-65.11,AR,1532505856
454,katsuura,93.2,70.0,75.0,11.41,33.93,134.5,JP,1532503980
455,katwijk,75.2,78.0,24.0,1.12,52.2,4.41,NL,1532505300
456,muriwai beach,53.6,81.0,88.0,4.7,-36.82,174.45,NZ,1532503800
457,raudeberg,60.8,77.0,40.0,4.7,61.99,5.14,NO,1532505000
458,ketchikan,62.6,93.0,1.0,5.82,55.34,-131.65,US,1532501760
459,katobu,82.13,88.0,80.0,4.63,-4.94,122.53,ID,1532505858
460,humberto de campos,80.24,93.0,44.0,13.24,-2.6,-43.46,BR,1532505858
462,sawakin,100.4,39.0,0.0,13.87,19.1,37.33,SD,1532502000
463,krechevitsy,75.11,65.0,44.0,4.18,58.62,31.4,RU,1532505859
464,oranjestad,80.6,83.0,40.0,18.34,12.52,-70.03,AW,1532502000
465,astoria,53.6,100.0,90.0,5.82,46.19,-123.83,US,1532505300
466,pisco,62.6,88.0,90.0,3.36,-13.71,-76.2,PE,1532502000
468,chatakonda,91.49,75.0,24.0,7.76,17.55,80.65,IN,1532505860
469,karakol,74.39,21.0,8.0,2.06,42.49,78.39,KG,1532505860
470,lebyazhye,75.2,64.0,0.0,11.18,59.96,29.42,RU,1532503800
471,umea,75.2,73.0,0.0,13.87,63.83,20.26,SE,1532503200
472,santa cruz,66.2,93.0,90.0,3.36,36.97,-122.03,US,1532504400
473,yar-sale,68.81,58.0,8.0,17.49,66.83,70.83,RU,1532505863
474,ocampo,81.5,95.0,56.0,3.74,13.56,123.37,PH,1532505863
475,leningradskiy,35.6,100.0,0.0,8.21,69.38,178.42,RU,1532505863
476,ponta delgada,69.8,83.0,20.0,12.75,37.73,-25.67,PT,1532503800
477,saint anthony,62.6,72.0,1.0,5.82,43.97,-111.68,US,1532501760
478,saurimo,69.8,30.0,0.0,6.93,-9.66,20.4,AO,1532502000
479,balfour,51.89,46.0,0.0,1.61,49.62,-116.96,CA,1532505864
480,floriano,73.58,54.0,8.0,10.45,-6.77,-43.02,BR,1532505796
481,minden,78.8,40.0,1.0,1.95,38.95,-119.77,US,1532505300
483,druzhba,68.09,100.0,92.0,5.08,49.36,25.65,UA,1532505865
484,zheshart,74.48,56.0,92.0,3.4,62.09,49.59,RU,1532505866
485,benicarlo,78.08,100.0,0.0,5.97,40.42,0.43,ES,1532505866
486,smithers,55.4,82.0,1.0,2.24,54.78,-127.17,CA,1532502000
487,inirida,69.17,100.0,92.0,3.18,3.87,-67.92,CO,1532505867
489,ploemeur,68.0,82.0,20.0,10.29,47.73,-3.43,FR,1532503800
490,paramonga,58.37,100.0,56.0,2.73,-10.68,-77.82,PE,1532505867
491,mahanoro,64.4,100.0,92.0,5.08,-19.9,48.8,MG,1532505868
492,kodiak,60.8,100.0,1.0,2.73,39.95,-94.76,US,1532505180
493,tazovskiy,71.6,45.0,0.0,24.65,67.47,78.7,RU,1532505868
494,turukhansk,58.55,70.0,80.0,3.62,65.8,87.96,RU,1532505869
495,nishihara,89.6,58.0,20.0,6.93,35.74,139.53,JP,1532505360
496,taunggyi,72.5,84.0,92.0,5.41,20.78,97.03,MM,1532505869
497,vila franca do campo,69.8,83.0,20.0,12.75,37.72,-25.43,PT,1532503800
498,omaruru,62.78,39.0,0.0,13.47,-21.42,15.95,NA,1532505870
499,ordubad,95.0,26.0,0.0,6.93,38.91,46.02,AZ,1532503800
500,tuatapere,42.17,100.0,92.0,8.43,-46.13,167.69,NZ,1532505870
501,campbell river,71.6,46.0,5.0,9.17,50.02,-125.24,CA,1532502000
502,santo antonio de jesus,68.95,99.0,92.0,8.97,-12.97,-39.26,BR,1532505655
503,jodhpur,90.05,68.0,80.0,14.25,26.3,73.04,IN,1532505744
504,saint-francois,75.2,57.0,0.0,2.24,46.42,3.91,FR,1532503800
505,wajir,80.6,54.0,75.0,14.99,1.75,40.07,KE,1532502000
506,talnakh,51.71,95.0,92.0,11.68,69.49,88.39,RU,1532505872
507,mbandaka,82.4,80.0,8.0,3.96,0.05,18.26,CD,1532505872
508,bud,60.8,87.0,75.0,9.17,62.91,6.91,NO,1532505000
509,manacapuru,77.72,85.0,36.0,5.41,-3.3,-60.62,BR,1532505708
510,rantepao,72.14,94.0,64.0,3.06,-2.97,119.9,ID,1532505873
511,mikuni,86.0,55.0,75.0,11.41,36.22,136.15,JP,1532502000
512,gravdal,62.6,93.0,75.0,3.36,59.79,5.78,NO,1532505000
513,hervey bay,65.3,98.0,0.0,4.63,-25.3,152.85,AU,1532505874
514,aksarka,77.72,43.0,8.0,18.28,66.56,67.8,RU,1532505874
515,broken hill,56.21,58.0,20.0,5.41,-31.97,141.45,AU,1532505630
516,taoudenni,99.95,11.0,0.0,8.77,22.68,-3.98,ML,1532505874
518,bambous virieux,77.0,61.0,40.0,14.99,-20.34,57.76,MU,1532502000
519,palana,69.98,62.0,76.0,3.74,59.08,159.95,RU,1532505875
520,ornskoldsvik,73.4,78.0,0.0,10.29,63.29,18.72,SE,1532503200
521,manjacaze,76.19,54.0,0.0,6.98,-24.71,33.88,MZ,1532505876
522,puerto narino,71.6,100.0,75.0,2.95,-3.77,-70.38,CO,1532502000
523,portmore,82.4,74.0,20.0,6.93,17.97,-76.87,JM,1532502000
524,urusha,74.57,58.0,0.0,3.51,54.05,122.9,RU,1532505876
525,accra,77.0,94.0,75.0,10.29,5.56,-0.21,GH,1532502000
526,mongo,77.9,84.0,88.0,3.06,4.83,22.92,CF,1532505877
527,casablanca,69.8,77.0,40.0,8.05,33.6,-7.62,MA,1532503800
528,mazagao,75.2,100.0,90.0,3.36,-0.12,-51.29,BR,1532503920
529,shimoda,84.2,74.0,75.0,3.36,34.7,138.93,JP,1532502000
530,fort saint james,52.52,85.0,0.0,2.17,54.43,-124.25,CA,1532505878
531,cetraro,77.63,65.0,0.0,3.51,39.52,15.94,IT,1532505878
532,zyryanka,63.23,72.0,92.0,2.51,65.73,150.89,RU,1532505879
533,suntar,65.39,66.0,0.0,5.08,62.16,117.65,RU,1532505879
534,kristinehamn,77.0,64.0,0.0,6.93,59.31,14.11,SE,1532503200
535,ugoofaaru,82.13,100.0,80.0,21.18,5.67,73.0,MV,1532505879
536,porto novo,57.2,93.0,40.0,2.24,-23.68,-45.44,BR,1532505600
537,slavonski brod,78.8,57.0,0.0,3.36,45.17,18.01,HR,1532503800
538,quang ngai,84.02,72.0,48.0,1.61,15.12,108.8,VN,1532505880
539,kahului,77.0,78.0,20.0,10.29,20.89,-156.47,US,1532501760
540,yarim,77.9,35.0,44.0,2.62,14.3,44.38,YE,1532505881
541,biltine,90.77,42.0,48.0,14.25,14.53,20.93,TD,1532505881
542,eyl,86.0,59.0,0.0,24.54,7.98,49.82,SO,1532505881
543,coahuayana,63.14,95.0,88.0,2.17,18.62,-100.35,MX,1532505882
544,saldanha,75.11,53.0,0.0,0.6,41.42,-6.55,PT,1532505882
545,la sarre,65.39,93.0,48.0,6.53,48.8,-79.2,CA,1532505632
547,hirara,89.6,70.0,20.0,8.05,24.8,125.28,JP,1532502000
548,diffa,85.55,74.0,0.0,13.13,13.32,12.61,NE,1532505883
549,namatanai,78.17,100.0,92.0,1.5,-3.66,152.44,PG,1532505883
550,zharkent,72.14,25.0,24.0,4.52,44.17,80.0,KZ,1532505883
551,port hardy,53.6,100.0,90.0,3.62,50.7,-127.42,CA,1532503200
552,san carlos de bariloche,23.0,85.0,0.0,5.82,-41.13,-71.31,AR,1532502000
553,brokopondo,73.4,100.0,20.0,1.12,5.06,-54.98,SR,1532505600
554,kamenka,66.83,82.0,92.0,12.57,53.19,44.05,RU,1532505885
555,idenao,77.0,88.0,75.0,11.41,4.25,9.0,CM,1532502000
556,chincha alta,62.6,88.0,90.0,3.36,-13.42,-76.13,PE,1532502000
557,dargaville,52.25,89.0,92.0,10.0,-35.94,173.86,NZ,1532505885
559,narino,57.2,100.0,75.0,1.16,5.61,-75.18,CO,1532502000
560,alofi,73.4,94.0,92.0,10.29,-19.06,-169.92,NU,1532502000
561,semenivka,76.19,91.0,48.0,9.44,52.18,32.58,UA,1532505886
562,kharp,75.47,62.0,0.0,15.48,66.82,65.8,RU,1532505887
564,whitehorse,66.2,42.0,20.0,11.41,60.72,-135.06,CA,1532502000
566,goderich,62.78,95.0,68.0,3.18,43.74,-81.71,CA,1532505888
567,nova venecia,59.09,87.0,0.0,2.73,-18.71,-40.4,BR,1532505630
568,teguldet,67.73,52.0,0.0,8.55,57.31,88.17,RU,1532505888
569,poronaysk,65.48,80.0,80.0,4.52,49.22,143.1,RU,1532505888
570,seydi,72.59,100.0,92.0,5.75,13.34,7.75,NE,1532505889
571,sobolevo,70.97,95.0,48.0,8.77,54.43,31.9,RU,1532505889
572,moerai,74.21,100.0,64.0,10.0,-22.43,-151.33,PF,1532505889
573,novobelokatay,81.77,53.0,8.0,4.41,55.7,58.96,RU,1532505889
574,cap malheureux,77.0,61.0,40.0,14.99,-19.98,57.61,MU,1532502000
575,shirokiy,65.75,98.0,92.0,11.68,53.87,39.17,RU,1532505890
577,salalah,80.6,83.0,75.0,9.17,17.01,54.1,OM,1532501400
578,lumphat,78.26,97.0,56.0,2.95,13.5,106.97,KH,1532505891
579,bullhead city,104.0,12.0,1.0,3.36,35.15,-114.57,US,1532504100
580,saint-ambroise,71.6,68.0,0.0,4.7,47.25,-0.65,FR,1532503800
581,tanabe,84.2,83.0,75.0,8.05,33.73,135.39,JP,1532502000
582,nelson bay,66.2,29.0,0.0,8.05,-32.72,152.14,AU,1532502000
583,crystal beach,71.6,100.0,40.0,4.7,42.87,-79.06,CA,1532505240
584,lichinga,63.86,66.0,12.0,6.53,-13.3,35.25,MZ,1532505892
585,greece,73.4,94.0,90.0,4.7,43.21,-77.69,US,1532505240
586,florianopolis,59.0,100.0,75.0,10.29,-27.6,-48.55,BR,1532502000
587,sao filipe,75.38,100.0,48.0,8.43,14.9,-24.5,CV,1532505893
588,wahiawa,78.8,73.0,40.0,4.7,21.5,-158.02,US,1532503860
589,kupang,84.2,62.0,20.0,13.87,-10.16,123.6,ID,1532502000
590,bulri,94.1,52.0,68.0,21.3,24.87,68.33,PK,1532505894
591,tura,78.8,100.0,88.0,3.06,25.52,90.21,IN,1532505894
593,pochutla,82.94,100.0,0.0,8.77,15.74,-96.47,MX,1532505895
594,vao,78.26,65.0,0.0,3.74,59.1,26.19,EE,1532505895
595,khilok,81.23,59.0,32.0,6.98,51.36,110.46,RU,1532505895
596,vanavara,65.3,52.0,24.0,7.54,60.35,102.28,RU,1532505896
597,trinidad,42.62,90.0,88.0,11.45,-33.52,-56.9,UY,1532505896
601,ridgecrest,91.4,26.0,1.0,9.17,35.62,-117.67,US,1532501760
602,zhireken,74.03,60.0,0.0,5.97,52.82,117.29,RU,1532505897
603,okhotsk,56.39,100.0,92.0,3.18,59.36,143.24,RU,1532505897
604,biryusinsk,67.82,71.0,76.0,3.96,55.96,97.82,RU,1532505897
605,kerman,96.8,6.0,20.0,4.7,30.29,57.06,IR,1532502000
606,conceicao do araguaia,72.5,85.0,8.0,6.64,-8.26,-49.26,BR,1532505653
607,flinders,62.6,39.0,0.0,14.99,-34.58,150.85,AU,1532502000
608,wukari,73.4,100.0,92.0,8.21,7.87,9.78,NG,1532505899
609,pskov,69.8,73.0,20.0,6.71,57.82,28.33,RU,1532503800
